Które miasto jest stolicą Polski?;Warszawa;Kraków;Wrocław;Gdańsk;0;Geografia
Który kontynent jest największy pod względem powierzchni?;Europa;Azja;Afryka;Ameryka Południowa;1;Geografia
Jak nazywa się najwyższy szczyt na Ziemi?;K2;Mont Blanc;Mount Everest;Kilimandżaro;2;Geografia
Która planeta w Układzie Słonecznym jest największa?;Saturn;Uran;Neptun;Jowisz;3;Astronomia
Jak nazywa się galaktyka, w której znajduje się Ziemia?;Droga Mleczna;Andromeda;Karłowata Galaktyka Strzelca;Wielka Mgławica;0;Astronomia
Która planeta jest najbliżej Słońca?;Wenus;Merkury;Mars;Ziemia;1;Astronomia
Jak nazywa się proces, w którym rośliny przekształcają światło słoneczne w energię?;Oddychanie komórkowe;Fermentacja;Fotosynteza;Glukoneogeneza;2;Biologia
Który organ w ludzkim ciele odpowiada za pompowanie krwi?;Wątroba;Płuca;Mózg;Serce;3;Biologia
Jakie zwierzę jest największe na świecie?;Płetwal błękitny;Słoń;Rekin wielorybi;Żyrafa;0;Biologia
Który pierwiastek ma symbol H?;Hel;Wodór;Azot;Tlen;1;Chemia
Który kwas jest składnikiem octu?;Kwas siarkowy;Kwas fosforowy;Kwas octowy;Kwas solny;2;Chemia
Który pierwiastek jest podstawowym składnikiem diamentu?;Krzem;Cynk;Srebro;Węgiel;3;Chemia
Kto jest reżyserem filmu 'Człowiek z marmuru'?;Andrzej Wajda;Roman Polański;Krzysztof Kieślowski;Agnieszka Holland;0;Film polski
Który polski film zdobył Oscara?;Cicha noc;Ida;Katyń;Pan Tadeusz;1;Film polski
Kto jest twórcą trylogii filmowej 'Dekalog'?;Andrzej Wajda;Agnieszka Holland;Krzysztof Kieślowski;Jerzy Hoffman;2;Film polski
Która reprezentacja wygrała Mistrzostwa Świata w Piłce Nożnej w 2018 roku?;Niemcy;Brazylia;Argentyna;Francja;3;Piłka nożna
Jak nazywa się polski piłkarz, który zdobył Złotą Piłkę?;Robert Lewandowski;Zbigniew Boniek;Grzegorz Lato;Kazimierz Deyna;0;Piłka nożna
Który klub piłkarski wygrał najwięcej Lig Mistrzów?;FC Barcelona;Real Madryt;AC Milan;Bayern Monachium;1;Piłka nożna
Która ryba jest typowym drapieżnikiem?;Karaś;Leszcz;Pstrąg;Karp;2;Wędkarstwo
Jak nazywa się metoda połowu na sztuczną przynętę?;Wędkarstwo gruntowe;Metoda odległościowa;Trolling;Spinning;3;Wędkarstwo
